Station Name,Entries and exits - Full price tickets, Entries and exits - Reduced price tickets,Entries and exits - Season tickets,1920 Entries and exits,NLC,TLC,Region
Blackburn,"325,430","760,628","237,158","1,323,216",2737,BBN,North West
Blackheath,"892,414","1,226,884","1,096,922","3,216,220",5095,BKH,London
Blackhorse Road,"517,774","768,558","551,910","1,838,242",7400,BHO,London
Blackpool North,"243,700","1,473,418","74,704","1,791,822",2739,BPN,North West
Blackpool Pleasure Beach,"13,914","112,282",732,"126,928",2738,BPB,North West
Blackpool South,"18,760","73,820","7,908","100,488",2740,BPS,North West
Blackrod,"41,718","53,204","511,324","606,246",2732,BLK,North West
Blackwater,"132,658","229,456","101,342","463,456",5625,BAW,South East
Blaenau Ffestiniog,"10,616","14,216",,"24,832",2450,BFF,Wales - Cymru
Blair Atholl,"6,470","11,918",,"18,388",8750,BLA,Scotland
Blairhill,"108,254","175,132","190,690","474,076",9760,BAI,Scotland
Blake Street,"88,108","118,140","221,074","427,322",1176,BKT,West Midlands
Blakedown,"21,326","14,126","64,048","99,500",4574,BKD,West Midlands
Blantyre,"129,956","219,194","166,788","515,938",9716,BLT,Scotland
Blaydon,"7,748","13,072","12,022","32,842",7503,BLO,North East
Bleasby,"7,186",898,604,"8,688",6204,BSB,East Midlands
Bletchley,"169,096","454,198","515,800","1,139,094",1360,BLY,South East
Bloxwich,"22,876","31,866",272,"55,014",1141,BLX,West Midlands
Bloxwich North,"24,396","31,378",104,"55,878",1018,BWN,West Midlands
Blythe Bridge,"46,862","29,538","14,724","91,124",1282,BYB,West Midlands
Bodmin Parkway,"11,154","210,648","21,542","243,344",3501,BOD,South West
Bodorgan,"2,778","1,976",276,"5,030",2435,BOR,Wales - Cymru
Bognor Regis,"187,418","578,674","307,672","1,073,764",5253,BOG,South East
Bogston,"9,794","15,760","10,152","35,706",9668,BGS,Scotland
Bolton,"963,584","1,166,020","1,132,856","3,262,460",2599,BON,North West
Bookham,"100,160","88,142","102,270","290,572",5626,BKA,South East
Bootle (Cumbria),"5,824","8,784","2,618","17,226",1993,BOC,North West
Bootle New Strand,"259,026","683,252","279,024","1,221,302",2195,BNW,North West
Bootle Oriel Road,"158,386","358,182","326,102","842,670",2239,BOT,North West
Borth,"38,674","16,040",920,"55,634",4304,BRH,Wales - Cymru
Bosham,"20,176","28,352","21,632","70,160",5254,BOH,South East
Boston,"72,414","122,932","15,508","210,854",6216,BSN,East Midlands
Botley,"35,848","49,234","51,836","136,918",5894,BOE,South East
Bottesford,"25,496","19,272","17,696","62,464",6237,BTF,East Midlands
Bourne End,"63,996","80,326","116,800","261,122",3018,BNE,South East
Bournemouth,"640,658","1,609,724","276,016","2,526,398",5876,BMH,South West
Bournville,"250,838","420,592","647,978","1,319,408",1112,BRV,West Midlands
Bow Brickhill,"7,212","7,056","27,072","41,340",1381,BWB,South East
Bowes Park,"155,724","140,454","375,908","672,086",6027,BOP,London
Bowling,"7,040","16,972","26,354","50,366",9968,BWG,Scotland
Bracknell,"826,980","754,692","597,600","2,179,272",5693,BCE,South East
Bradford Forster Square,"653,240","575,936","717,446","1,946,622",8346,BDQ,Yorkshire And The Humber
Bradford Interchange,"698,230","1,071,512","905,536","2,675,278",8345,BDI,Yorkshire And The Humber
Bradford-On-Avon,"226,240","230,390","94,090","550,720",3341,BOA,South West
Brading,"24,520","2,114","6,208","32,842",5530,BDN,South East
Braintree,"109,454","208,772","411,860","730,086",6801,BTR,East
Braintree Freeport,"25,498","43,682","40,356","109,536",2053,BTP,East
Bramhall,"89,938","100,586","121,096","311,620",2944,BML,North West
Bramley (Hampshire),"71,624","142,756","87,352","301,732",5500,BMY,South East
Bramley (West Yorkshire),"137,432","79,724","135,326","352,482",8496,BLE,Yorkshire And The Humber
Brampton (Cumbria),"5,578","9,438",834,"15,850",7565,BMP,North West
Brampton (Suffolk),"3,036","5,460","1,362","9,858",7259,BRP,East
Branchton,"25,514","53,632","27,904","107,050",9938,BCN,Scotland
Brandon,"43,910","47,540","20,122","111,572",7200,BND,East
Branksome,"83,014","119,184","88,400","290,598",5875,BSM,South West
Braystones,170,"1,204",,"1,374",2045,BYS,North West
Bredbury,"71,012","77,062","91,130","239,204",2779,BDY,North West
Breich,"1,390",906,254,"2,550",9251,BRC,Scotland
Brentford,"603,978","513,754","602,454","1,720,186",5552,BFD,London
Brentwood,"1,180,434","1,096,368","855,956","3,132,758",6872,BRE,East
Bricket Wood,"13,314","10,078","7,630","31,022",1560,BWO,East
Bridge Of Allan,"121,766","106,126","63,946","291,838",9889,BEA,Scotland
Bridge Of Orchy,"3,836","2,070",,"5,906",8823,BRO,Scotland
Bridgend,"692,540","394,632","421,122","1,508,294",3809,BGN,Wales - Cymru
Bridgeton,"174,216","425,600","214,418","814,234",9789,BDG,Scotland
Bridgwater,"102,924","228,638","32,266","363,828",3449,BWT,South West
Bridlington,"82,640","346,930","54,772","484,342",8049,BDT,Yorkshire And The Humber
Brierfield,"11,026","21,414","5,248","37,688",2554,BRF,North West
Brigg,260,"1,418",,"1,678",6464,BGG,Yorkshire And The Humber
Brighouse,"128,164","184,174","84,674","397,012",8514,BGH,Yorkshire And The Humber
Brighton,"2,885,962","10,142,024","4,327,586","17,355,572",5268,BTN,South East
Brimsdown,"351,766","417,540","289,002","1,058,308",6810,BMD,London
Brinnington,"34,940","35,226","39,112","109,278",2603,BNT,North West
Bristol Parkway,"660,326","1,394,792","316,694","2,371,812",3230,BPW,South West
Bristol Temple Meads,"3,523,258","6,247,610","1,848,492","11,619,360",3231,BRI,South West
Brithdir,"6,480",752,"3,376","10,608",4012,BHD,Wales - Cymru
Briton Ferry,"25,116","2,030","6,472","33,618",4187,BNF,Wales - Cymru
Brixton,"317,572","406,460","407,650","1,131,682",5081,BRX,London
Broad Green,"189,258","130,870","162,476","482,604",2240,BGE,North West
Broadbottom,"62,870","69,994","69,276","202,140",2892,BDB,North West
Broadstairs,"95,150","459,292","192,518","746,960",5006,BSR,South East
Brockenhurst,"191,468","425,384","385,720","1,002,572",5886,BCU,South East
Brockholes,"17,946","20,032","12,870","50,848",8429,BHS,Yorkshire And The Humber
Brockley,"1,222,922","1,963,752","1,082,706","4,269,380",5404,BCY,London
Bromborough,"230,684","270,172","208,166","709,022",2190,BOM,North West
Bromborough Rake,"101,388","151,454","102,188","355,030",2191,BMR,North West
Bromley North,"118,712","87,752","242,642","449,106",5096,BMN,London
Bromley South,"2,141,152","3,318,694","2,513,726","7,973,572",5064,BMS,London
Bromsgrove,"269,944","194,106","326,382","790,432",4715,BMV,West Midlands
Brondesbury,"612,154","1,060,278","896,680","2,569,112",1437,BSY,London
Brondesbury Park,"344,530","424,570","254,200","1,023,300",1438,BSP,London
Brookwood,"278,252","214,088","471,396","963,736",5687,BKO,South East
Broome,844,196,,"1,040",4175,BME,West Midlands
Broomfleet,186,306,372,864,8050,BMF,Yorkshire And The Humber
Brora,"5,066","1,288",,"6,354",8618,BRA,Scotland
Brough,"77,326","295,504","84,768","457,598",8051,BUH,Yorkshire And The Humber
Broughty Ferry,"50,936","33,206","7,536","91,678",9023,BYF,Scotland
Broxbourne,"664,204","768,078","424,372","1,856,654",6812,BXB,East
Bruce Grove,"273,026","484,804","358,330","1,116,160",6958,BCV,London
Brundall,"28,942","40,456","20,344","89,742",7289,BDA,East
Brundall Gardens,"4,090","3,934","1,384","9,408",7006,BGA,East
Brunstane,"84,442","59,940","27,390","171,772",8807,BSU,Scotland
Brunswick,"398,726","370,188","504,348","1,273,262",3623,BRW,North West
Bruton,"15,842","27,756","5,220","48,818",5702,BRU,South West
Bryn,"59,366","78,024","34,910","172,300",2222,BYN,North West
Buckenham,32,176,4,212,7290,BUC,East
Buckley,"36,798","3,356","1,720","41,874",2422,BCK,Wales - Cymru
Bucknell,"2,492",716,260,"3,468",4182,BUK,West Midlands
Bugle,14,"4,780",,"4,794",3502,BGL,South West
Builth Road,"4,410","2,138",,"6,548",4317,BHR,Wales - Cymru
Bulwell,"37,538","15,266","16,048","68,852",1865,BLW,East Midlands
Bures,"12,836","18,420","26,768","58,024",7085,BUE,East
Burgess Hill,"298,078","729,732","917,694","1,945,504",5483,BUG,South East
Burley Park,"346,482","239,336","101,114","686,932",8500,BUY,Yorkshire And The Humber
Burley-In-Wharfedale,"180,840","135,738","172,864","489,442",8565,BUW,Yorkshire And The Humber
Burnage,"79,288","67,052","66,164","212,504",2945,BNA,North West
Burnham-On-Crouch,"50,964","61,470","120,674","233,108",6873,BUU,East
Burnley Barracks,"9,036","14,794","2,178","26,008",2743,BUB,North West
Burnley Central,"29,036","55,186","18,056","102,278",2550,BNC,North West
Burnley Manchester Road,"148,852","271,658","62,226","482,736",2549,BYM,North West
Burntisland,"59,084","98,724","53,430","211,238",9107,BTS,Scotland
Burscough Bridge,"67,380","87,638","62,902","217,920",2279,BCB,North West
Burscough Junction,"22,044","21,560","4,304","47,908",2280,BCJ,North West
Bursledon,"18,748","26,824","16,468","62,040",5927,BUO,South East
Burton Joyce,"7,600","5,368","2,362","15,330",6200,BUJ,East Midlands
Burton-On-Trent,"281,100","457,000","109,912","848,012",1658,BUT,West Midlands
Busby,"45,358","74,670","55,114","175,142",9791,BUS,Scotland
Bush Hill Park,"456,100","470,444","181,290","1,107,834",6913,BHK,London
Bushey,"592,540","629,708","256,212","1,478,460",1395,BSH,East
Butlers Lane,"43,548","74,708","128,088","246,344",1179,BUL,West Midlands
Buxted,"27,088","43,508","87,950","158,546",5324,BXD,South East
Buxton,"73,624","229,426","40,636","343,686",2946,BUX,East Midlands
Bynea,"1,570",766,,"2,336",4124,BYE,Wales - Cymru
Cadoxton,"193,500","18,502","44,398","256,400",3811,CAD,Wales - Cymru
Caergwrle,"13,626","1,736",552,"15,914",2536,CGW,Wales - Cymru
Caerphilly,"421,588","59,358","231,702","712,648",3812,CPH,Wales - Cymru
Caersws,"26,446","22,780","10,048","59,274",4412,CWS,Wales - Cymru
Caldicot,"63,834","9,546","15,644","89,024",3680,CDT,Wales - Cymru
Calstock,"1,350","27,242","6,166","34,758",3562,CSK,South West
Camberley,"125,872","149,082","66,618","341,572",5682,CAM,South East
Camborne,"27,022","203,418","47,100","277,540",3504,CBN,South West
Cambridge,"2,645,586","5,889,278","3,064,950","11,599,814",7022,CBG,East
Cambridge Heath,"215,090","309,096","250,120","774,306",6962,CBH,London
Cambuslang,"205,072","326,354","237,582","769,008",9768,CBL,Scotland
Camden Road,"1,348,996","1,936,358","1,275,206","4,560,560",1440,CMD,London
Camelon,"64,166","61,512","37,196","162,874",9878,CMO,Scotland
Canley,"78,484","150,848","140,242","369,574",1129,CNL,West Midlands
Cannock,"66,114","107,694","23,924","197,732",1016,CAO,West Midlands
Canonbury,"886,486","1,430,426","568,650","2,885,562",1441,CNN,London
Canterbury East,"214,528","622,022","260,184","1,096,734",5164,CBE,South East
