,Unnamed: 0,NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
19,19,1404.0,ACC,Acton Central,London,Greater London,Ealing,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 165,701 "," 211,419 "," 531,889 "," 909,009 "," 165,701 "," 211,419 "," 531,889 "," 909,009 "," 1,818,018 "," 1,339,536 ",  ,1.0,0.0,Further improvements to Overground service including completition of link between North and East branches  in February 2011 driving continued large increases in demand,http://www.tfl.gov.uk/corporate/projectsandschemes/15397.aspx,,,,
20,20,3000.0,AML,Acton Main Line,London,Greater London,Ealing,UKI2,Outer London,First Great Western,,,London Travelcard Area Station," 26,777 "," 26,792 "," 121,249 "," 174,818 "," 26,777 "," 26,792 "," 121,249 "," 174,818 "," 349,636 "," 346,756 ",  ,0.0,0.0,,,,,,
21,21,1036.0,ADD,Adderley Park,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 5,540 "," 6,182 "," 14,821 "," 26,543 "," 5,540 "," 6,182 "," 14,821 "," 26,543 "," 53,086 "," 31,048 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 19,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
22,22,9310.0,ADW,Addiewell,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,," 3,755 "," 6,197 "," 2,148 "," 12,100 "," 3,755 "," 6,197 "," 2,148 "," 12,100 "," 24,200 "," 22,868 ",  ,0.0,0.0,,,,,,
23,23,5550.0,ASN,Addlestone,South East,Surrey,Runnymede,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 65,833 "," 47,100 "," 69,946 "," 182,879 "," 65,833 "," 47,100 "," 69,946 "," 182,879 "," 365,758 "," 378,412 ",  ,0.0,0.0,,,,,,
24,24,5160.0,ADM,Adisham,South East,Kent,Canterbury,UKJ4,Kent,Southeastern,,,," 2,812 "," 4,604 "," 8,607 "," 16,023 "," 2,812 "," 4,604 "," 8,607 "," 16,023 "," 32,046 "," 36,938 ",  ,1.0,0.0,Continues decline in passengers seen over a number of years. Recent decline likely linked to introduction of HS1 services,,,,,
25,25,2939.0,ADC,Adlington (Cheshire),North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 4,149 "," 3,427 ", 835 ," 8,411 "," 4,149 "," 3,427 ", 835 ," 8,411 "," 16,822 "," 15,852 ",  ,0.0,0.0,,,,,,
26,26,2641.0,ADL,Adlington (Lancashire),North West,Lancashire,Chorley,UKD4,Lancashire,Northern Rail,,,," 25,660 "," 13,418 "," 15,911 "," 54,989 "," 25,660 "," 13,418 "," 15,911 "," 54,989 "," 109,978 "," 104,910 ",  ,0.0,0.0,,,,,,
27,27,8353.0,AWK,Adwick,Yorkshire And The Humber,South Yorkshire,Doncaster,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,," 53,499 "," 28,878 "," 46,566 "," 128,943 "," 53,499 "," 28,878 "," 46,566 "," 128,943 "," 257,886 "," 247,964 ",  ,0.0,0.0,,,,,,
28,28,2255.0,AIG,Aigburth,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,," 105,316 "," 143,159 "," 102,714 "," 351,189 "," 105,316 "," 143,159 "," 102,714 "," 351,189 "," 702,378 "," 681,774 ",  ,0.0,0.0,,,,,,
29,29,2350.0,ANS,Ainsdale,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 150,747 "," 213,200 "," 116,439 "," 480,386 "," 150,747 "," 213,200 "," 116,439 "," 480,386 "," 960,772 "," 972,616 ",  ,0.0,0.0,,,,,,
30,30,2125.0,AIN,Aintree,North West,Merseyside,Sefton,UKD5,Merseyside,Merseyrail,,Merseyside,," 169,452 "," 251,752 "," 152,444 "," 573,648 "," 169,452 "," 251,752 "," 152,444 "," 573,648 "," 1,147,296 "," 1,197,258 ",  ,0.0,0.0,,,,,,
31,31,9695.0,AIR,Airbles,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 21,041 "," 21,777 "," 12,264 "," 55,082 "," 21,041 "," 21,777 "," 12,264 "," 55,082 "," 110,164 "," 107,862 ",  ,0.0,0.0,,,,,,
32,32,9759.0,ADR,Airdrie,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 180,334 "," 171,314 "," 227,673 "," 579,321 "," 180,334 "," 171,314 "," 227,673 "," 579,321 "," 1,158,642 "," 1,191,156 ",  ,0.0,0.0,,,,,,
33,33,5132.0,AYP,Albany Park,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 79,042 "," 71,892 "," 308,003 "," 458,937 "," 79,042 "," 71,892 "," 308,003 "," 458,937 "," 917,874 "," 913,852 ",  ,0.0,0.0,,,,,,
34,34,4614.0,ALB,Albrighton,West Midlands,Shropshire,Bridgnorth,UKG2,Shropshire and Staffordshire,London Midland Trains,,West Midlands,," 17,365 "," 17,680 "," 17,406 "," 52,451 "," 17,365 "," 17,680 "," 17,406 "," 52,451 "," 104,902 "," 79,232 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 7,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
35,35,2760.0,ALD,Alderley Edge,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 40,346 "," 44,011 "," 25,175 "," 109,532 "," 40,346 "," 44,011 "," 25,175 "," 109,532 "," 219,064 "," 202,426 ",  ,0.0,0.0,,,,,,
36,36,3145.0,AMT,Aldermaston,South East,West Berkshire,West Berkshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 7,760 "," 12,247 "," 11,885 "," 31,892 "," 7,760 "," 12,247 "," 11,885 "," 31,892 "," 63,784 "," 61,292 ",  ,0.0,0.0,,,,,,
37,37,5623.0,AHT,Aldershot,South East,Hampshire,Rushmoor,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 218,506 "," 288,111 "," 228,221 "," 734,838 "," 218,506 "," 288,111 "," 228,221 "," 734,838 "," 1,469,676 "," 1,492,704 "," 147,889 ",0.0,0.0,,,,,,
38,38,5280.0,AGT,Aldrington,South East,Brighton And Hove,Brighton And Hove,UKJ2,"Surrey, East & West Sussex",Southern,,,," 19,915 "," 36,645 "," 39,206 "," 95,766 "," 19,915 "," 36,645 "," 39,206 "," 95,766 "," 191,532 "," 169,266 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
39,39,6025.0,AAP,Alexandra Palace,London,Greater London,Haringey,UKI1,Inner London,First Capital Connect,,,London Travelcard Area Station," 121,872 "," 133,837 "," 322,939 "," 578,648 "," 121,872 "," 133,837 "," 322,939 "," 578,648 "," 1,157,296 "," 1,114,960 "," 56,081 ",0.0,0.0,,,,,,
40,40,9905.0,AXP,Alexandra Parade,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 40,121 "," 30,659 "," 20,333 "," 91,113 "," 40,121 "," 30,659 "," 20,333 "," 91,113 "," 182,226 "," 157,348 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
41,41,9861.0,ALX,Alexandria,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 51,663 "," 57,398 "," 65,148 "," 174,209 "," 51,663 "," 57,398 "," 65,148 "," 174,209 "," 348,418 "," 346,556 ",  ,0.0,0.0,,,,,,
42,42,1805.0,ALF,Alfreton,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 46,913 "," 43,277 "," 15,818 "," 106,008 "," 46,913 "," 43,277 "," 15,818 "," 106,008 "," 212,016 "," 205,306 ",  ,0.0,0.0,,,,,,
44,44,9883.0,ALO,Alloa,Scotland,Clackmannan,Clackmannan,UKM2,Eastern Scotland,First ScotRail,,,," 50,199 "," 114,030 "," 36,346 "," 200,575 "," 50,199 "," 114,030 "," 36,346 "," 200,575 "," 401,150 "," 394,326 ",  ,0.0,0.0,,,,,,
45,45,8605.0,ASS,Alness,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 8,353 "," 2,251 "," 2,145 "," 12,749 "," 8,353 "," 2,251 "," 2,145 "," 12,749 "," 25,498 "," 17,782 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
46,46,7787.0,ALM,Alnmouth,North East,Northumberland,Alnwick,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 47,254 "," 60,433 "," 20,401 "," 128,088 "," 47,254 "," 60,433 "," 20,401 "," 128,088 "," 256,176 "," 214,230 "," 1,529 ",1.0,0.0,Continues substantial growth seen in previous year and likely to partially be due to benefits of new station car park completed in 2011,http://www.journallive.co.uk/northumberland-sites/alnwick-northumberland/alnwick-news/2011/03/03/new-alnmouth-station-car-park-declared-open-61634-28271606/,,,,
48,48,1223.0,ASG,Alsager,North West,Cheshire,Congleton,UKD2,Cheshire,East Midlands Trains,,,," 26,103 "," 10,201 "," 6,400 "," 42,704 "," 26,103 "," 10,201 "," 6,400 "," 42,704 "," 85,408 "," 74,474 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
50,50,6532.0,ALP,Althorpe,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,," 1,249 "," 2,408 ", 991 ," 4,648 "," 1,249 "," 2,408 ", 991 ," 4,648 "," 9,296 "," 8,430 ",  ,0.0,0.0,,,,,,
51,51,8606.0,ABC,Altnabreac,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 109 , 10 , -   , 119 , 109 , 10 , -   , 119 , 238 , 172 ,  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
52,52,5544.0,AON,Alton,South East,Hampshire,East Hampshire,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 80,217 "," 112,809 "," 165,559 "," 358,585 "," 80,217 "," 112,809 "," 165,559 "," 358,585 "," 717,170 "," 720,478 ",  ,0.0,0.0,,,,,,
53,53,2806.0,ALT,Altrincham,North West,Greater Manchester,Trafford,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 51,734 "," 79,592 "," 99,994 "," 231,320 "," 51,734 "," 79,592 "," 99,994 "," 231,320 "," 462,640 "," 476,526 ", 3 ,0.0,0.0,,,,,,
54,54,1198.0,ALV,Alvechurch,West Midlands,Worcestershire,Bromsgrove,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 32,792 "," 14,698 "," 33,206 "," 80,696 "," 32,792 "," 14,698 "," 33,206 "," 80,696 "," 161,392 "," 137,552 ",  ,1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 15,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
55,55,1678.0,AMB,Ambergate,East Midlands,Derbyshire,Amber Valley,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 6,016 "," 11,820 "," 2,140 "," 19,976 "," 6,016 "," 11,820 "," 2,140 "," 19,976 "," 39,952 "," 39,600 ",  ,0.0,0.0,,,,,,
56,56,5250.0,AMY,Amberley,South East,West Sussex,Horsham,UKJ2,"Surrey, East & West Sussex",Southern,,,," 5,482 "," 14,997 "," 10,255 "," 30,734 "," 5,482 "," 14,997 "," 10,255 "," 30,734 "," 61,468 "," 48,994 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
57,57,506.0,AMR,Amersham,South East,Buckinghamshire,Chiltern,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",London Underground,,,," 305,124 "," 320,580 "," 266,300 "," 892,004 "," 305,124 "," 320,580 "," 266,300 "," 892,004 "," 1,784,008 "," 1,713,718 ",  ,0.0,0.0,,,,,,
58,58,4236.0,AMF,Ammanford,Wales - Cymru,Carmarthenshire - Sir Gaerfyrddin,Carmarthenshire - Sir Gaerfyrddin,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 5,906 "," 3,083 ", 457 ," 9,446 "," 5,906 "," 3,083 ", 457 ," 9,446 "," 18,892 "," 19,256 ",  ,0.0,0.0,,,,,,
59,59,6358.0,ANC,Ancaster,East Midlands,Lincolnshire,South Kesteven,UKF3,Lincolnshire,East Midlands Trains,,,," 1,187 ", 299 , 535 ," 2,021 "," 1,187 ", 299 , 535 ," 2,021 "," 4,042 "," 4,388 ",  ,0.0,0.0,,,,,,
60,60,9965.0,AND,Anderston,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 94,425 "," 40,149 "," 189,017 "," 323,591 "," 94,425 "," 40,149 "," 189,017 "," 323,591 "," 647,182 "," 576,912 ",  ,1.0,0.0,Ticket barriers introduced in June 2011,http://en.wikipedia.org/wiki/Anderston_railway_station,,,,
61,61,5510.0,ADV,Andover,South East,Hampshire,Test Valley,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 114,254 "," 216,490 "," 236,906 "," 567,650 "," 114,254 "," 216,490 "," 236,906 "," 567,650 "," 1,135,300 "," 1,089,684 "," 1,050 ",0.0,0.0,,,,,,
62,62,5397.0,ANY,Anerley,London,Greater London,Bromley,UKI2,Outer London,London Overground,,,London Travelcard Area Station," 70,660 "," 100,702 "," 142,963 "," 314,325 "," 70,660 "," 100,702 "," 142,963 "," 314,325 "," 628,650 "," 508,902 ",  ,1.0,0.0,Continued growth from improved East London line service,,,,,
64,64,5267.0,ANG,Angmering,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 75,269 "," 199,488 "," 134,987 "," 409,744 "," 75,269 "," 199,488 "," 134,987 "," 409,744 "," 819,488 "," 764,818 ",  ,0.0,0.0,,,,,,
65,65,9451.0,ANN,Annan,Scotland,Dumfries And Galloway,Dumfries And Galloway,UKM3,South Western Scotland,First ScotRail,,,," 6,791 "," 55,193 "," 1,369 "," 63,353 "," 6,791 "," 55,193 "," 1,369 "," 63,353 "," 126,706 "," 117,166 ",  ,0.0,0.0,,,,,,
66,66,9972.0,ANL,Anniesland,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 202,162 "," 160,893 "," 188,599 "," 551,654 "," 202,162 "," 160,893 "," 188,599 "," 551,654 "," 1,103,308 "," 1,047,958 ",  ,0.0,0.0,,,,,,
68,68,2052.0,APP,Appleby,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,," 28,139 "," 4,035 "," 2,268 "," 34,442 "," 28,139 "," 4,035 "," 2,268 "," 34,442 "," 68,884 "," 70,808 ",  ,0.0,0.0,,,,,,
70,70,3109.0,APF,Appleford,South East,Oxfordshire,Vale Of White Horse,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,," 1,042 "," 2,171 ", 673 ," 3,886 "," 1,042 "," 2,171 ", 673 ," 3,886 "," 7,772 "," 8,890 ",  ,0.0,0.0,,,,,,
71,71,2396.0,APB,Appley Bridge,North West,Lancashire,West Lancashire,UKD4,Lancashire,Northern Rail,,,," 18,578 "," 76,407 "," 23,713 "," 118,698 "," 18,578 "," 76,407 "," 23,713 "," 118,698 "," 237,396 "," 226,086 ",  ,0.0,0.0,,,,,,
72,72,1430.0,APS,Apsley,East,Hertfordshire,Dacorum,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,," 52,717 "," 71,706 "," 89,532 "," 213,955 "," 52,717 "," 71,706 "," 89,532 "," 213,955 "," 427,910 "," 401,244 ",  ,0.0,0.0,,,,,,
73,73,9079.0,ARB,Arbroath,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,," 69,877 "," 87,416 "," 42,153 "," 199,446 "," 69,877 "," 87,416 "," 42,153 "," 199,446 "," 398,892 "," 404,212 ", 188 ,0.0,0.0,,,,,,
74,74,8613.0,ARD,Ardgay,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 3,571 ", 869 , 5 ," 4,445 "," 3,571 ", 869 , 5 ," 4,445 "," 8,890 "," 7,404 ",  ,0.0,0.0,,,,,,
75,75,9962.0,AUI,Ardlui,Scotland,Argyll And Bute,Argyll And Bute,UKM4,Highlands and Islands,First ScotRail,,,, 846 , 284 , -   ," 1,130 ", 846 , 284 , -   ," 1,130 "," 2,260 "," 2,092 ",  ,0.0,0.0,,,,,,
76,76,9453.0,ADS,Ardrossan Harbour,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,," 31,812 "," 17,509 "," 7,611 "," 56,932 "," 31,812 "," 17,509 "," 7,611 "," 56,932 "," 113,864 "," 115,954 ",  ,0.0,0.0,,,,,,
77,77,9569.0,ASB,Ardrossan South Beach,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,," 32,607 "," 38,101 "," 46,904 "," 117,612 "," 32,607 "," 38,101 "," 46,904 "," 117,612 "," 235,224 "," 229,090 ", 252 ,0.0,0.0,,,,,,
78,78,9455.0,ADN,Ardrossan Town,Scotland,North Ayrshire,North Ayrshire,UKM3,South Western Scotland,First ScotRail,ARDROSSAN BR,Strathclyde,," 2,916 "," 3,254 "," 4,126 "," 10,296 "," 2,916 "," 3,254 "," 4,126 "," 10,296 "," 20,592 "," 18,872 ",  ,0.0,0.0,,,,,,
79,79,2960.0,ADK,Ardwick,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,, 111 , 99 , 82 , 292 , 111 , 99 , 82 , 292 , 584 , 668 ,  ,0.0,0.0,,,,,,
80,80,9961.0,AGS,Argyle Street,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 221,475 "," 240,966 "," 135,793 "," 598,234 "," 221,475 "," 240,966 "," 135,793 "," 598,234 "," 1,196,468 "," 783,634 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
81,81,8821.0,ARG,Arisaig,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 2,503 "," 1,260 ", -   ," 3,763 "," 2,503 "," 1,260 ", -   ," 3,763 "," 7,526 "," 7,622 ",  ,0.0,0.0,,,,,,
82,82,6171.0,ARL,Arlesey,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,," 61,093 "," 72,380 "," 118,250 "," 251,723 "," 61,093 "," 72,380 "," 118,250 "," 251,723 "," 503,446 "," 444,680 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
84,84,2054.0,AWT,Armathwaite,North West,Cumbria,Eden,UKD1,Cumbria,Northern Rail,,,," 3,918 ", 581 , 278 ," 4,777 "," 3,918 ", 581 , 278 ," 4,777 "," 9,554 "," 9,684 ",  ,0.0,0.0,,,,,,
85,85,1963.0,ARN,Arnside,North West,Cumbria,South Lakeland,UKD1,Cumbria,First TransPennine Express,,,," 25,999 "," 18,283 "," 6,931 "," 51,213 "," 25,999 "," 18,283 "," 6,931 "," 51,213 "," 102,426 "," 115,862 ",  ,1.0,0.0,Impact of closure of Arnside viaduct for 16 weeks,http://news.bbc.co.uk/local/cumbria/hi/people_and_places/history/newsid_9365000/9365397.stm,,,,
86,86,8045.0,ARR,Arram,Yorkshire And The Humber,East Riding Of Yorkshire,East Riding Of Yorkshire,UKE1,East Riding and North Linconshire,Northern Rail,,,, 334 , 527 , 881 ," 1,742 ", 334 , 527 , 881 ," 1,742 "," 3,484 "," 3,234 ",  ,0.0,0.0,,,,,,
88,88,5251.0,ARU,Arundel,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 21,320 "," 75,353 "," 47,703 "," 144,376 "," 21,320 "," 75,353 "," 47,703 "," 144,376 "," 288,752 "," 274,844 ",  ,0.0,0.0,,,,,,
90,90,3003.0,AUW,Ascott-Under-Wychwood,South East,Oxfordshire,West Oxfordshire,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",First Great Western,,,, 873 , 155 , 323 ," 1,351 ", 873 , 155 , 323 ," 1,351 "," 2,702 "," 1,658 ",  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
91,91,5641.0,ASH,Ash,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 37,191 "," 43,458 "," 55,927 "," 136,576 "," 37,191 "," 43,458 "," 55,927 "," 136,576 "," 273,152 "," 270,936 "," 37,291 ",0.0,0.0,,,,,,
92,92,5547.0,AHV,Ash Vale,South East,Surrey,Guildford,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 55,258 "," 64,479 "," 106,281 "," 226,018 "," 55,258 "," 64,479 "," 106,281 "," 226,018 "," 452,036 "," 437,436 "," 139,899 ",0.0,0.0,,,,,,
93,93,2941.0,ABY,Ashburys,North West,Greater Manchester,Manchester,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 9,143 "," 16,558 "," 17,352 "," 43,053 "," 9,143 "," 16,558 "," 17,352 "," 43,053 "," 86,106 "," 71,722 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
95,95,9953.0,ASF,Ashfield,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 15,900 "," 14,567 "," 4,371 "," 34,838 "," 15,900 "," 14,567 "," 4,371 "," 34,838 "," 69,676 "," 54,662 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
